metric,comparison,block,setting,backend,n_prompts,p_two_sided,stars_uncorrected,wilcoxon_note,p_holm,stars_holm
executability,qwen4b_abl_vs_null,per_backend,ablation,qwen4b,120,0.014305878435429648,*,ok,0.2718116902731633,
intent_align,qwen4b_abl_vs_null,per_backend,ablation,qwen4b,120,0.012951555958484639,*,ok,0.2590311191696928,
script_quality,qwen4b_abl_vs_null,per_backend,ablation,qwen4b,120,2.4147300427406065e-06,***,ok,8.934501158140244e-05,***
executability,llama8b_abl_vs_null,per_backend,ablation,llama8b,120,0.31731050786291415,,ok,1.0,
intent_align,llama8b_abl_vs_null,per_backend,ablation,llama8b,120,0.0005505062983024676,***,ok,0.01376265745756169,*
script_quality,llama8b_abl_vs_null,per_backend,ablation,llama8b,120,0.002135392187245103,**,ok,0.04911402030663737,*
executability,deepseek16b_abl_vs_null,per_backend,ablation,deepseek16b,120,2.1137337237121815e-05,***,ok,0.0006552574543507762,***
intent_align,deepseek16b_abl_vs_null,per_backend,ablation,deepseek16b,120,0.017842556609174647,*,ok,0.28548090574679436,
script_quality,deepseek16b_abl_vs_null,per_backend,ablation,deepseek16b,120,0.00432205442392828,**,ok,0.09076314290249388,
executability,claude_abl_vs_null,per_backend,ablation,claude,120,0.31731050786291415,,ok,1.0,
intent_align,claude_abl_vs_null,per_backend,ablation,claude,120,0.024246082476324846,*,ok,0.36369123714487267,
script_quality,claude_abl_vs_null,per_backend,ablation,claude,120,0.00032606615040164157,***,ok,0.009094281864912285,**
executability,qwenmax_abl_vs_null,per_backend,ablation,qwenmax,120,0.049534613435626706,*,ok,0.6934845880987739,
intent_align,qwenmax_abl_vs_null,per_backend,ablation,qwenmax,120,0.0011471285340549308,**,ok,0.02753108481731834,*
script_quality,qwenmax_abl_vs_null,per_backend,ablation,qwenmax,120,0.2699921884613524,,ok,1.0,
executability,gpt-4omini_abl_vs_null,per_backend,ablation,gpt-4omini,120,0.763024600552995,,ok,1.0,
intent_align,gpt-4omini_abl_vs_null,per_backend,ablation,gpt-4omini,120,0.918626423473419,,ok,1.0,
script_quality,gpt-4omini_abl_vs_null,per_backend,ablation,gpt-4omini,120,0.9814838278091597,,ok,1.0,
executability,qwen4b_full_vs_null,per_backend,full,qwen4b,120,0.014305878435429648,*,ok,0.2718116902731633,
intent_align,qwen4b_full_vs_null,per_backend,full,qwen4b,120,3.1923840242200513e-06,***,ok,0.00011173344084770179,***
script_quality,qwen4b_full_vs_null,per_backend,full,qwen4b,120,1.8058577319237225e-05,***,ok,0.0005959330515348284,***
executability,llama8b_full_vs_null,per_backend,full,llama8b,120,0.15729920705028502,,ok,1.0,
intent_align,llama8b_full_vs_null,per_backend,full,llama8b,120,7.723130264090887e-05,***,ok,0.002316939079227266,**
script_quality,llama8b_full_vs_null,per_backend,full,llama8b,120,0.00046743478887348213,***,ok,0.012153304510710535,*
executability,deepseek16b_full_vs_null,per_backend,full,deepseek16b,120,0.5598155925079977,,ok,1.0,
intent_align,deepseek16b_full_vs_null,per_backend,full,deepseek16b,120,1.8820326829688282e-05,***,ok,0.000602250458550025,***
script_quality,deepseek16b_full_vs_null,per_backend,full,deepseek16b,120,2.735571019137825e-06,***,ok,9.84805566889617e-05,***
executability,claude_full_vs_null,per_backend,full,claude,120,0.014305878435429648,*,ok,0.2718116902731633,
intent_align,claude_full_vs_null,per_backend,full,claude,120,1.7339064409642712e-10,***,ok,7.455797696146366e-09,***
script_quality,claude_full_vs_null,per_backend,full,claude,120,7.83485097131032e-09,***,ok,3.212288898237231e-07,***
executability,qwenmax_full_vs_null,per_backend,full,qwenmax,120,0.5598155925079977,,ok,1.0,
intent_align,qwenmax_full_vs_null,per_backend,full,qwenmax,120,2.7580623262978284e-09,***,ok,1.158386177045088e-07,***
script_quality,qwenmax_full_vs_null,per_backend,full,qwenmax,120,1.5190246641658779e-05,***,ok,0.0005164683858163985,***
executability,gpt-4omini_full_vs_null,per_backend,full,gpt-4omini,120,0.17793172526825463,,ok,1.0,
intent_align,gpt-4omini_full_vs_null,per_backend,full,gpt-4omini,120,0.0003247957808897245,***,ok,0.009094281864912285,**
script_quality,gpt-4omini_full_vs_null,per_backend,full,gpt-4omini,120,0.0027055859664699825,**,ok,0.05952289126233962,
executability,mean_ablation_vs_null,mean_aggregate,,,120,0.00017489520331425673,***,ok,0.005071960896113445,**
executability,mean_full_vs_null,mean_aggregate,,,120,1.0,,ok,1.0,
executability,mean_full_vs_ablation,mean_aggregate,,,120,1.2732750089882904e-07,***,ok,5.093100035953162e-06,***
intent_align,mean_ablation_vs_null,mean_aggregate,,,120,0.6947881711693369,,ok,1.0,
intent_align,mean_full_vs_null,mean_aggregate,,,120,1.1800791644765985e-06,***,ok,4.6023087414587345e-05,***
intent_align,mean_full_vs_ablation,mean_aggregate,,,120,6.229253672958807e-20,***,ok,2.8031641528314632e-18,***
script_quality,mean_ablation_vs_null,mean_aggregate,,,120,0.23196785884883786,,ok,1.0,
script_quality,mean_full_vs_null,mean_aggregate,,,120,2.344128930239119e-06,***,ok,8.907689934908652e-05,***
script_quality,mean_full_vs_ablation,mean_aggregate,,,120,8.016571112921257e-20,***,ok,3.527291289685353e-18,***
